establishment_name,city,state,establishment_type,created_timestamp,naics_code,industry_description,annual_average_employees,total_hours_worked,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_injuries,total_cases,is_correct,sectors_code,subsectors_code
NH Services - Compton,Compton,CA,1.0,2021-02-25 06:46:32,484110," General freight trucking, local ",17,46365.0,0,5,0,1,6,6,True,49,484
Executive MGT ,Rochester,NY,1.0,2021-07-01 13:15:02,561720, Janitorial services ,8,13163.0,0,0,0,0,0,0,True,56,561
607,Roanoke,VA,1.0,2021-02-25 10:32:16,445110,Supermrkts & other grocery stores,67,82809.0,0,1,0,0,1,1,True,45,445
"Shin-Etsu Silicones of America, Inc. Evans 1",Akron,OH,1.0,2021-02-23 15:14:35,325199, Silicone (except resins) manufacturing ,40,99007.0,0,0,0,0,0,0,True,33,325
ARI - San Antnio,San Antonio,TX,1.0,2021-04-12 18:34:19,811310, Commercial refrigeration equipment repair and maintenance services ,45,91061.0,0,2,0,0,2,2,True,81,811
PDX FSA WEST,PORTLAND,OR,1.0,2021-02-01 19:34:05,484121," General freight trucking, long-distance, truckload (TL) ",1,1605.0,0,0,0,0,0,0,True,49,484
Foodservice : BEDFORD PARK THERMO,Bedford Park,IL,1.0,2021-02-26 20:02:51,326199, ,271,521689.0,0,0,5,1,6,6,True,33,326
"Capital Steel & Wire, Inc. - Hull Road",Mason,MI,1.0,2021-02-26 19:26:59,423510, Metals service centers ,35,52400.0,0,4,0,3,7,7,True,42,423
HB Specialty Foods Nampa,Nampa,ID,1.0,2021-01-21 21:46:08,311824," Batters, prepared, made from purchased flour ",341,523688.0,0,3,5,4,12,12,True,33,311
8652 OTIS ST,SOUTH GATE,CA,1.0,2021-03-19 20:04:10,321211, Hardwood veneer or plywood manufacturing ,32,52736.0,0,0,1,0,1,1,True,33,321
Brady Industries of Boise,Boise,ID,1.0,2021-03-09 23:20:27,423850, Janitorial equipment and supplies merchant wholesalers ,21,39107.0,0,1,0,0,1,1,True,42,423
1184,WALDORF,MD,1.0,2021-02-25 10:34:38,445110,Supermrkts & other grocery stores,86,113053.0,0,1,1,0,2,2,True,45,445
Cooling Tower Maintenance & Repair ,Hobbs,NM,1.0,2021-02-26 16:04:49,238220, Cooling tower installation ,21,42827.0,0,0,0,0,0,0,True,23,238
